Sl. No,Food Item,Recipe,Approximate Calorie per Serving
88,Beef Korma (Dhaka),"To prepare Beef Korma in the Dhaka style, a rich, flavorful, and mildly spiced curry, start by cutting 500 g of beef into medium-sized cubes. Heat 3 tablespoons of mustard or soybean oil in a heavy-bottomed pan until hot. Add 1 teaspoon of whole cumin seeds and let them splutter.

Add 2 large chopped onions and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until fragrant. Reduce the heat slightly and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, and salt to taste. Fry the spices for 2–3 minutes until aromatic.

Add the beef cubes and coat them evenly with the masala. Cook on medium-high heat for 5–6 minutes until lightly seared. Add 1 cup of yogurt or 1 half cup of coconut milk (optional for creaminess), cover, and simmer on low heat for 45–50 minutes, or until the beef is tender and the gravy thickens. Stir occasionally to prevent sticking.

Finish with 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot with steamed rice, roti, or paratha.",375
89,Beef Korma (Hill Tracts),"To prepare Beef Korma in the Hill Tracts style, a rich, aromatic, and mildly spiced curry reflecting tribal flavors, start by cutting 500 g of beef into medium-sized cubes. Heat 3 tablespoons of sesame or mustard oil in a heavy-bottomed pan until hot. Add 1 teaspoon of whole cumin seeds and let them splutter.

Add 2 large chopped onions and sauté until golden brown. Stir in 1 teaspoon of garlic paste and 1 teaspoon of ginger paste, cooking until the raw aroma disappears. Reduce the heat slightly and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, and salt to taste. Fry the spices for 2–3 minutes until fragrant.

Add the beef cubes and stir well to coat them evenly with the masala. Cook on medium-high heat for 5–6 minutes until the beef is lightly seared. Add 1 cup of coconut milk or yogurt (optional for creaminess) and 2–3 crushed green chilies for a subtle kick. Cover and simmer on low heat for 45–50 minutes, stirring occasionally, until the beef is tender and the gravy thickens.

Finish by sprinkling 1 half teaspoon of Garam Masala and garnish with fresh coriander leaves. Serve hot with steamed rice, flatbreads, or sticky rice.",375
90,Beef Korma (Khulna),"To prepare Beef Korma in the Khulna style, a rich, mildly spiced, and aromatic curry, start by cutting 500 g of beef into medium-sized cubes. Heat 3 tablespoons of mustard or soybean oil in a heavy-bottomed pan until hot. Add 1 teaspoon of whole cumin seeds and let them splutter.

Add 2 large chopped onions and sauté until golden brown. Stir in 1 teaspoon of garlic paste and 1 teaspoon of ginger paste, cooking until fragrant. Reduce the heat slightly and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, 1 half teaspoon of cumin powder, and salt to taste. Fry the spices for 2–3 minutes until aromatic.

Add the beef cubes and coat them well with the masala. Cook on medium-high heat for 5–6 minutes until lightly seared. Add 1 cup of yogurt or 1 half cup of coconut milk (optional for richness), cover, and simmer on low heat for 45–50 minutes, or until the beef is tender and the gravy thickens. Stir occasionally to prevent sticking.

Finally, sprinkle 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot with steamed rice, roti, or paratha.",370
91,Beef Korma (Mymensingh),"To prepare traditional Mymensingh-style Beef Korma, start with 500 grams of bone-in beef pieces, preferably from the shank or shoulder. Wash and pat the beef dry.

In a heavy-bottomed pan, heat 4 tablespoons mustard oil until lightly smoking. Add 2 medium onions finely sliced and sauté until golden brown. Add 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 1.5 teaspoons red chili powder, 1 teaspoon cumin powder, 1 teaspoon coriander powder, and salt to taste. Fry briefly until aromatic.

Add the beef pieces and sauté for 10–12 minutes until they are lightly browned and coated with spices. Stir in 3–4 tablespoons plain yogurt or coconut milk to make a rich, creamy gravy. Cover and cook on low heat for 45–50 minutes, stirring occasionally, until the beef is tender and the oil separates from the gravy. Add 2–3 slit green chilies and a handful of chopped coriander leaves just before finishing for added aroma.

Serve hot with plain steamed rice or polao for an authentic Mymensingh-style Beef Korma experience.",550
92,Beef Korma (Sylhet),"To prepare traditional Sylhet-style Beef Korma, start with 500 grams of bone-in beef pieces, preferably from the shank or shoulder. Wash and pat dry.

In a heavy-bottomed pan, heat 4 tablespoons mustard oil until lightly smoking. Add 2 medium onions thinly sliced and sauté until golden brown. Add 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 1.5 teaspoons red chili powder, 1 teaspoon cumin powder, 1 teaspoon coriander powder, and salt to taste. Fry briefly until aromatic.

Add the beef pieces and sauté for 10–12 minutes until lightly browned and coated with spices. Stir in 3–4 tablespoons plain yogurt or a small amount of coconut milk for richness. Cover and cook on low heat for 45–50 minutes, stirring occasionally, until the beef is tender and the oil separates from the gravy. Add 2–3 slit green chilies and a handful of chopped coriander leaves before serving for extra flavor.

Serve hot with plain steamed rice or polao for an authentic Sylhet-style Beef Korma experience.",550
93,Beef Paturi (Barisal),"To prepare traditional Barisal-style Beef Paturi, start with 500 grams of boneless or bone-in beef, preferably from the shank or shoulder. Wash and pat the beef dry. Cut into medium-sized pieces.

In a bowl, prepare a marinade by mixing 2 tablespoons mustard oil, 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 1.5 teaspoons red chili powder, 1 teaspoon cumin powder, 1 teaspoon coriander powder, salt to taste, and a handful of chopped coriander leaves. Coat the beef pieces thoroughly with this mixture and let it marinate for 30–60 minutes.

Take banana leaves or foil and soften them over low heat. Place the marinated beef on the leaf and fold it into a tight parcel, securing the edges. Steam the parcels in a steamer or in a covered pot with a little water for 40–45 minutes until the beef is fully cooked and tender. Optionally, lightly smoke the parcels over an open flame for added aroma before serving.

Serve hot with plain steamed rice, mashed vegetables, and green chilies for a traditional Barisal-style Beef Paturi experience.",520
94,Beef Paturi (Rajshahi),"To prepare traditional Rajshahi-style Beef Paturi, start with 500 grams of boneless or bone-in beef, preferably from the shank or shoulder. Wash and pat dry. Cut the beef into medium-sized pieces.

In a bowl, prepare a marinade using 2 tablespoons mustard oil, 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 1.5 teaspoons red chili powder, 1 teaspoon cumin powder, 1 teaspoon coriander powder, salt to taste, and a handful of chopped coriander leaves. Coat the beef thoroughly and let it marinate for 30–60 minutes.

Take banana leaves or foil and soften them over low heat. Place the marinated beef on the leaf and fold it into a tight parcel, securing the edges. Steam the parcels in a steamer or in a covered pot with a little water for 40–45 minutes until the beef is fully cooked and tender. Optionally, lightly smoke the parcels over an open flame for a smoky aroma before serving.

Serve hot with plain steamed rice, mashed vegetables, and green chilies for an authentic Rajshahi-style Beef Paturi experience.",520
95,Beef Paturi (Rangpur),"To prepare traditional Rangpur-style Beef Paturi, start with 500 grams of boneless or bone-in beef, preferably from the shank or shoulder. Wash and pat the beef dry. Cut into medium-sized pieces.

In a bowl, prepare a marinade using 2 tablespoons mustard oil, 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 2 teaspoons red chili powder (slightly spicier for Rangpur taste), 1 teaspoon cumin powder, 1 teaspoon coriander powder, salt to taste, and a handful of chopped coriander leaves. Coat the beef thoroughly and let it marinate for 30–60 minutes.

Take banana leaves or foil and soften them over low heat. Place the marinated beef on the leaf and fold it into a tight parcel, securing the edges. Steam the parcels in a steamer or covered pot with a little water for 40–45 minutes until the beef is fully cooked and tender. Optionally, lightly char the parcels over an open flame for a smoky aroma before serving.

Serve hot with plain steamed rice, mashed vegetables, and green chilies for an authentic Rangpur-style Beef Paturi experience.",520
96,Beef Paturi (Sylhet),"To prepare traditional Sylhet-style Beef Paturi, start with 500 grams of boneless or bone-in beef, preferably from the shank or shoulder. Wash and pat the beef dry. Cut into medium-sized pieces.

In a bowl, prepare a marinade using 2 tablespoons mustard oil, 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 1.5 teaspoons red chili powder, 1 teaspoon cumin powder, 1 teaspoon coriander powder, salt to taste, and a handful of chopped coriander leaves. Coat the beef thoroughly and let it marinate for 30–60 minutes.

Take banana leaves or foil and soften them over low heat. Place the marinated beef on the leaf and fold it into a tight parcel, securing the edges. Steam the parcels in a steamer or covered pot with a little water for 40–45 minutes until the beef is fully cooked and tender. Optionally, lightly smoke the parcels over an open flame for added aroma before serving.

Serve hot with plain steamed rice, mashed vegetables, and green chilies for an authentic Sylhet-style Beef Paturi experience.",520
97,Beef Paturi (Tribal),"To prepare traditional Tribal-style Beef Paturi, commonly enjoyed in the Chittagong Hill Tracts and northern tribal regions, start with 500 grams of boneless or bone-in beef, preferably from the shank or shoulder. Wash and pat dry, then cut into medium-sized pieces.

In a bowl, prepare a simple marinade using 2 tablespoons mustard oil, 1 teaspoon turmeric powder, 1–2 finely chopped local green chilies, a pinch of salt, and a handful of chopped local herbs or coriander leaves. Coat the beef thoroughly and let it marinate for 30–60 minutes.

Take banana leaves or other large locally available leaves and soften them over low heat. Place the marinated beef on the leaf and fold it into a tight parcel, securing the edges. Steam the parcels in a steamer or covered pot with a little water for 40–45 minutes until the beef is fully cooked and tender. Optionally, lightly smoke the parcels over an open flame for added aroma.

Serve hot with plain boiled rice, boiled vegetables, or local greens for a rustic Tribal-style Beef Paturi experience.",500
98,Beef Polao (Barisal),"To prepare traditional Barisal-style Beef Polao, start with 500 grams of bone-in beef pieces, preferably from the shank or shoulder. Wash and pat dry.

In a large heavy-bottomed pot, heat 4 tablespoons mustard oil until lightly smoking. Add 2 medium onions thinly sliced and sauté until golden brown. Add 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 1.5 teaspoons red chili powder, 1 teaspoon cumin powder, 1 teaspoon garam masala, and salt to taste. Fry briefly until aromatic.

Add the beef pieces and sauté for 10–12 minutes until lightly browned and coated with spices. Pour in 2.5–3 cups of hot water, cover, and simmer on low heat for 45 minutes or until the beef is tender and about 1.5 cups of liquid remain.

Wash and soak 2 cups of basmati or kalijira rice for 20 minutes, then drain. Add the rice to the cooked beef mixture, gently stirring to combine. Cook uncovered over medium heat until most of the liquid is absorbed, then reduce heat to low, cover tightly, and steam for another 15 minutes until the rice is fully cooked and fluffy.

Serve hot, garnished with fried onions or green chilies, for an authentic Barisal-style Beef Polao.",580
99,Beef Polao (Chattogram),"To prepare traditional Chattogram-style Beef Polao, start with 500 grams of bone-in beef pieces, preferably from the shank or shoulder. Wash and pat dry.

In a heavy-bottomed pot, heat 4 tablespoons mustard oil until lightly smoking. Add 2 medium onions thinly sliced and sauté until golden brown. Add 1 tablespoon garlic paste, 1 tablespoon ginger paste, 1 teaspoon turmeric powder, 1.5 teaspoons red chili powder, 1 teaspoon cumin powder, 1 teaspoon garam masala, and salt to taste. Fry briefly until aromatic.

Add the beef pieces and sauté for 10–12 minutes until lightly browned and coated with spices. Pour in 2.5–3 cups of hot water, cover, and simmer on low heat for 45 minutes or until the beef is tender and about 1.5 cups of liquid remain.

Wash and soak 2 cups of basmati or kalijira rice for 20 minutes, then drain. Add the rice to the cooked beef mixture, gently stirring to combine. Cook uncovered over medium heat until most of the liquid is absorbed, then reduce heat to low, cover tightly, and steam for another 15 minutes until the rice is fully cooked and fluffy.

Serve hot, garnished with fried onions or green chilies, for an authentic Chattogram-style Beef Polao.",580
